Cod. Item;Item;Definicao;Classificacao; R$ Valor Sugerido ;Item Dolarizado;Especificacao Sugerida;Tipo
597;Espirômetro;Equipamento para medições de fluxo e volume inspirado e expirado em pacientes.;Médico Assistencial;R$ 19.811,00;N;Clique para Detalhar;ESPECIALIZADO
11868;Espirômetro para Telessaúde;Equipamento para medições de fluxo e volume inspirado e expirado em pacientes. Com aplicação para Telessaúde/telemedicina.;Médico Assistencial;R$ 19.811,00;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
11430;Estabilizador de Tensão/Módulo Isolador (Para Computador);Os estabilizadores são equipamentos eletrônicos responsáveis por corrigir a tensão da rede elétrica para fornecer aos equipamentos uma alimentação estável e segura.;Gerais;R$ 592,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
10267;Estadiômetro;Equipamento utilizado para medir altura de pessoas.;Apoio;R$ 884,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
1921;Estante;Estante desmontável, de aço, aberta no fundo e nas laterais.;Gerais;R$ 788,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
10856;Estativa de Teto para Equipamentos;Destinada ao uso no centro cirúrgico com função de suporte para equipamentos.;Infraestrutura;R$ 34.197,00;N;Clique para Detalhar;ESPECIALIZADO
11932;Esteira Elétrica para Usuário de Cadeira de Rodas;"Equipamento para treino aeróbio para indivíduos que usam cadeira de rodas para a locomoção. Geralmente, possui base larga para caber a cadeira;
sistema de travamento para segurança; monitor que apresenta as medidas relacionadas (tempo, distância
percorrida); ajuste de de velocidade e distância; rampa removível para fácil armazenamento";Apoio;R$ 41.211,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
3;Esteira Ergométrica;Esteira elétrica para uso em exames ergométricos e avaliação física/cardiológica  e para exercícios de reabilitação física.;Médico Assistencial;R$ 3.701,00;N;Clique para Detalhar;ESPECIALIZADO
10888;Esterilizador por Métodos Físicos-Químicos;Esterilizador que utiliza processo físico-químico, para esterilização de dispositivos e materiais médicos.;Apoio;R$ 590.919,00;N;Clique para Detalhar;ESPECIALIZADO
11919;Estesiômetro (Monofilamentos de Semmes Weinstein);Instrumento utilizado para avaliar a sensibilidade tátil e neurológica da pele. Mede a percepção de estímulos mecânicos e pode ajudar a diagnosticar neuropatias, lesões nervosas periféricas e outras condições que afetam a sensibilidade cutânea.;Apoio;R$ 396,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
85;Estetoscópio Adulto;Aparelho portátil para auscultação de sons cardíacos e pulmonares de pacientes.;Médico Assistencial;R$ 345,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
79;Estetoscópio de Pinard;"Utilizado na auscultação dos batimentos cardíacos, em gestantes. Instrumento em forma de ""corneta"" (cone);";Médico Assistencial;R$ 84,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11863;Estetoscópio Digital para Telessaúde;Aparelho portátil para auscultação de sons cardíacos e pulmonares de pacientes, com aplicação para Telessaúde/Telemedicina.;Médico Assistencial;R$ 6.697,00;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
110;Estetoscópio Infantil;Aparelho portátil para auscultação de sons cardíacos e pulmonares de pacientes;Médico Assistencial;R$ 316,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
843;Estimulador Neuro-Muscular;Equipamento utilizado para realizar a terapia de disfunções neuromusculares por meio da aplicação de corrente elétrica (estimulação elétrica), que pode ser cutânea, anal, vaginal.;Médico Assistencial;R$ 2.985,00;N;Clique para Detalhar;ESPECIALIZADO
2841;Estufa de CO2;Equipamento utilizado para realização de trabalhos envolvendo pesquisas de cultura celular e microbiológicas. Permite o crescimento e desenvolvimento de células em cultura.;Apoio;R$ 78.970,00;N;Clique para Detalhar;ESPECIALIZADO
410;Estufa de Cultura;Equipamento para incubação com temperatura controlada, por tempo variável, para incubação, crescimento e multiplicação de microorganismos.;Apoio;R$ 4.617,00;N;Clique para Detalhar;ESPECIALIZADO
2825;Estufa de Secagem e Esterilização;Equipamento de esterilização e secagem para eliminação de microrganismos de materiais como vidrarias e instrumentais.;Apoio;R$ 5.062,00;N;Clique para Detalhar;ESPECIALIZADO
2452;Exaustor de Ar Industrial;Exaustão e filtragem de poluentes gerados em processos industriais. Equipamento de parede, podendo ser com ou sem filtro.;Infraestrutura;R$ 1.540,00;N;Clique para Detalhar;ESPECIALIZADO
359;Exaustor para Câmara Escura;Utilizado para remover os gases, decorrentes das revelações dos filmes radiológicos.;Infraestrutura;R$ 1.460,00;N;Clique para Detalhar;ESPECIALIZADO
11443;Exercitador de Mãos e Dedos;Aparelho para exercitar a flexão das mãos, dedos e antebraços. Indicado para fortalecimento da musculatura, aumento da mobilidade e coordenação dos dedos.;Médico Assistencial;R$ 52,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
