Cod. Item;Item;Definicao;Classificacao; R$ Valor Sugerido ;Item Dolarizado;Especificacao Sugerida;Tipo
Cod. Item;Item;Definicao;Classificacao; R$ Valor Sugerido ;Item Dolarizado;Especificacao Sugerida;Tipo
11807;Acelerador Linear (Recursos avançados com IGRT 3D);Equipamento utilizado no serviço de radioterapia, que tem como função emitir a radiação utilizada em diversos tratamentos. As radiações emitidas são os raios x de alta energia (grande poder de penetração para tratamentos de câncer mais profundo) ou elétrons (radiações corpusculares com menor poder de penetração para tratamentos mais superficiais). A energia máxima de fótons deve estar em conformidade com o bunker autorizado (licença CNEN).;Médico Assistencial;R$ 11.881.011,68;S;Clique para Detalhar;ANÁLISE ESPECIALIZADA
10272;Adipômetro;Instrumento utilizado para medição de gordura localizada e/ou avaliação da composição corporal (cálculo do índice de gordura corporal). O equipamento realiza a medição através de uma prega na região corporal e seus resultados auxiliam num planejamento de atividades físicas e reeducação alimentar para adequação nutricional.;Médico Assistencial;R$ 175,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
10848;Agitador com Incubadora;Equipamento utilizado para incubação de amostras que necessitam de agitação orbital e temperatura controlada.;Médico Assistencial;R$ 17.587,00;N;Clique para Detalhar;ESPECIALIZADO
2832;Agitador de Kline;Equipamento utilizado  para testes de VDRL, Kline, Alpha ou qualquer outro teste de aglutinação ou floculação.;Médico Assistencial;R$ 3.784,00;N;Clique para Detalhar;ESPECIALIZADO
1732;Agitador de Plaquetas;Equipamento para agitar plaquetas e bolsas de plaquetas de Apheresis com ou sem termostato.;Médico Assistencial;R$ 20.127,00;N;Clique para Detalhar;ESPECIALIZADO
41;Agitador de Tubos (Vórtex);Equipamento agitador de tubos e pequenos frascos utilizados em laboratórios.;Médico Assistencial;R$ 1.826,00;N;Clique para Detalhar;ESPECIALIZADO
1738;Agitador Magnético;Equipamento que promove agitação através de um campo magnético formado por um  ímã acoplado à um pequeno motor.;Médico Assistencial;R$ 1.707,00;N;Clique para Detalhar;ESPECIALIZADO
2827;Aglutinoscópio;Equipamento para visualizar aglutinação e possibilitar perfeita homogeneização.;Médico Assistencial;R$ 2.081,00;N;Clique para Detalhar;ESPECIALIZADO
11922;Agogô;Instrumento musical de percussão, composto por duas ou mais campanas metálicas de tamanhos diferentes, unidas por uma haste. O som é produzido ao bater com uma baqueta ou com as próprias mãos.;Apoio;R$ 147,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
2270;Alicate de Ordenha para Bolsa de Sangue;Alicate utilizado para confinar e selar na bolsa o sangue presente no tubo.;Apoio;R$ 21.726,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
174;Amalgamador Odontológico;Equipamento de uso odontológico, utilizado para mistura de produtos para homogeneização, necessários à produção da amalgama. A sua função é obturação dental.;Médico Assistencial;R$ 2.065,00;N;Clique para Detalhar;ESPECIALIZADO
11994;Ambulância Padrão Samu 192 Furgão Sem Equipamentos Aquisição por Pregão 90105/2025 (Item 1);Veículo para transporte e assistência ao paciente (SAMU),para Suporte Básico e/ou Avançado de Vida para Renovação de Frota.;Veículo;R$ 292.600,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11995;Ambulância Padrão Samu 192 Furgão Tipo B Aquisição por Pregão 90105/2025 (Item 2);Veículo para transporte e assistência ao paciente (SAMU),para Suporte Básico de Vida (USB).;Veículo;R$ 323.037,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11996;Ambulância Padrão Samu 192 Furgão Tipo D Aquisição por Pregão 90105/2025 (Item 3);Veículo para transporte e assistência ao paciente (SAMU),para Suporte Avançado de Vida (USA).;Veículo;R$ 437.784,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11998;Ambulância Tipo A - Simples Remoção Furgão (Agora Tem Especialistas) Aquisição por Pregão 90130/2025;Ambulância para suporte básico - Tipo A especial (Simples remoção sem risco de vida), destinada ao transporte de pacientes sem risco de vida aparente.;Veículo;R$ 274.977,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11656;Ambulância Tipo A - Simples Remoção Tipo Furgão;"Ambulância de transporte para remoção simples e eletiva de pecientes sem risco de vida - Ambulância Tipo A.

Este equipamento possui especificação e preço unitário previamente validados pelo Ministério da Saúde e não serão permitidas alterações.";Veículo;R$ 312.730,00;N;Clique para Detalhar;ESPECIALIZADO
11974;Ambulância Tipo A - Simples Remoção Tipo Furgão (Agora Tem Especialistas);Ambulância para suporte básico - Tipo A especial (Simples remoção sem risco de vida), destinada ao transporte de pacientes sem risco de vida aparente.;Veículo;R$ 363.334,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11677;Ambulância Tipo A - Simples Remoção Tipo Furgoneta;Ambulância de transporte para remoção simples e eletiva de pacientes sem risco de vida - Ambulância Tipo A.;Veículo;R$ 260.998,00;N;Clique para Detalhar;ESPECIALIZADO
11678;Ambulância Tipo A - Simples Remoção Tipo pick-up 4x4;Ambulância de transporte para remoção simples e eletiva de pacientes sem risco de vida - Ambulância Tipo A Pick-up 4x4.;Veículo;R$ 334.413,00;N;Clique para Detalhar;ESPECIALIZADO
95;Amnioscópio;Equipamento de diagnóstico portátil utilizado pelo médico obstetra para visualizar a cor e a transparência do líquido amniótico. Consiste em um exame simples e indolor onde o médico faz uma análise pela cor do líquido amniótico e com isso consegue determinar o bem estar do bebê.;Médico Assistencial;R$ 2.588,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11986;Amplificador Multicanais;É um dispositivo de áudio que contém multiplos circuitos amplificadores discretos (canais) em um único chassi.;Gerais;R$ 65.623,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
2828;Analisador Automático para Hematologia;Equipamento automático para rotinas hematológicas, na análise morfológica e contagem de células do sangue.;Médico Assistencial;R$ 104.987,00;N;Clique para Detalhar;ESPECIALIZADO
180;Analisador Bioquímico;Equipamento de uso essencial em laboratório com medição de analitos, sendo esse dispositivo (automático ou semi automático).;Médico Assistencial;R$ 111.634,00;N;Clique para Detalhar;ESPECIALIZADO
11416;Analisador de Composição Corporal;"Equipamento utilizado para diagnosticar deficiência ou excesso de nutrientes no organismo; Acompanhar a evolução terapêutica em várias situações clínicas bem como ser um indicador de risco.";Médico Assistencial;R$ 36.034,00;N;Clique para Detalhar;ESPECIALIZADO
718;Analisador de Gases Respiratórios/Hemogasômetro;Hemogasômetro, equipamento que permite a análise dos principais gases do sistema respiratório tais como oxigênio e gás carbônico.;Médico Assistencial;R$ 50.416,00;N;Clique para Detalhar;ESPECIALIZADO
11808;Analisador de G6PD;Analisador teste para a detecção quantitativa de Glicose-6-fosfato Desidrogenase (G6PD).;Médico Assistencial;R$ 1.934,00;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
2877;Analisador de Íons/ Eletrólitos;Analisador para dosagem de íons e eletrólitos (como Sódio, Potássio, Cloro, Lítio e Cálcio) nas rotinas laboratoriais de análises clínicas.;Médico Assistencial;R$ 29.347,00;N;Clique para Detalhar;ESPECIALIZADO
10518;Analisador de Meridianos;Sistema utilizado para análise bio-elétrica do paciente.;Médico Assistencial;R$ 2.244,00;N;Clique para Detalhar;ESPECIALIZADO
1461;Analisador de Partículas por Difração à Laser;Equipamneto utilizado para medir e caracterizar o tamanho das partículas presentes em uma amostra. Por meio da difração a laser monitora e otimiza a qualidade do produto, garantindo que as partículas estejam dentro das especificações dejedadas;Médico Assistencial;R$ 1.178.110,80;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
11324;Analisador de Tamanho de Partículas;Equipamento utilizado para medir tamanho de partículas sólidas e líquidas, podendo também determinar a forma da partícula analisada, com o objetivo de caracterizar partículas na faixa nano e micrométrica, como nanopartículas, polímeros, proteínas, emulsões, e outros sistemas dispersos.;Item Industrial Hosp/Farmacêutico e/ou Pesquisa;R$ 1.006.751,00;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
10493;Analisador de Urina;Equipamento para as rotinas de laboratório de urinálise, para determinação parâmetros físicos e químicos,  para auxiliar no diagnóstico de infecções, doenças renais e diabetes.;Médico Assistencial;R$ 8.471,00;N;Clique para Detalhar;ESPECIALIZADO
2789;Analisador Imunológico;Equipamento para as rotinas do laboratório de imunologia como: provas hormonais, detecção de marcadores específicos e reações antígeno-anticorpo.;Médico Assistencial;R$ 196.183,00;N;Clique para Detalhar;ESPECIALIZADO
11952;Analisador Termogravimétrico;Equipamento utilizado para analisar, avaliar, monitorar massa, por diferentes métodos.;Apoio;R$ 1.784.444,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
909;Andador;Equipamento utilizado no suporte de pacientes pediátrico a adulto com problemas locomotores.;Apoio;R$ 198,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11890;Andador Posterior com 04 Rodas;Equipamento utilizado no suporte de pacientes pediátrico a adulto com problemas locomotores.;Apoio;R$ 2.830,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
162;Aparelho de Anestesia;Equipamento destinado à administração e mistura de gases com vapores anestésicos ao paciente, através de respiração espontânea, controlada, manualmente ou mecanicamente, sendo constituído de seção de fluxo contínuo (incluindo vaporizador), sistema respiratório e respirador .;Médico Assistencial;R$ 287.847,00;N;Clique para Detalhar;ESPECIALIZADO
10927;Aparelho de Anestesia com Monitor Multiparâmetros;Equipamento destinado à administração e mistura de gases com vapores anestésicos ao paciente, através de respiração espontânea, controlada, manualmente ou mecanicamente, sendo constituído de seção de fluxo contínuo (incluindo vaporizador), sistema respiratório e respirador. Possui um Monitor Multiparâmetros acoplado ao sistema para medição dos parâmetros fisiológicos durante a anestesia.;Médico Assistencial;R$ 317.447,00;N;Clique para Detalhar;ESPECIALIZADO
11234;Aparelho de Anestesia para Ressonância Magnética;Equipamento destinado à administração e mistura de gases com vapores anestésicos ao paciente, através de respiração espontânea, controlada, manualmente ou mecanicamente, sendo constituído de seção de fluxo contínuo (incluindo vaporizador), sistema respiratório e respirador. Para este item deve ser apresentadas caracteristicas construtivas que permitam a aplicação correta e utilização segura do equipamento em ambientes que possuam Ressonância Nuclear Magnética.;Médico Assistencial;R$ 375.000,00;N;Clique para Detalhar;ESPECIALIZADO
10270;Aparelho de Bioimpedância Elétrica (BIA);Utilizado para analisar a composição corporal por meio da resistência total do corpo à passagem de uma corrente elétrica.;Médico Assistencial;R$ 215,00;N;Clique para Detalhar;ESPECIALIZADO
3034;Aparelho de Corrente Interferencial;É um equipamento de eletroterapia amplamente utilizado para fins de analgesia (alívio e dor) e estimulação neuromuscular.;Médico Assistencial;R$ 2.435,00;N;Clique para Detalhar;ESPECIALIZADO
10;Aparelho de DVD;Aparelho para audio-visualização de discos do tipo DVD.;Gerais;R$ 326,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11354;Aparelho de Fototerapia para Psoríase;Equipamento de fototerapia indicado para tratamento de psoríase, vitiligo, dermatite atópica, entre outros. Pode ser fixo aplicado para tratamentos de corpo inteiro ou portátil para aplicações em regiões isoladas, a depender do tipo da doença.;Médico Assistencial;R$ 10.361,00;N;Clique para Detalhar;ESPECIALIZADO
2775;Aparelho de Luz Infravermelho;Equipamento emissor de radiação infravermelha que auxilia na irrigação sanguínea, na redução da dor e também pode ser utilizado em bancos de leite.;Médico Assistencial;R$ 467,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
10912;Aparelho de Raios X - Fixo Analógico;Equipamento emissor de Raios X para fins de diagnóstico médico.;Médico Assistencial;R$ 171.600,00;N;Clique para Detalhar;ESPECIALIZADO
10883;Aparelho de Raios X - Fixo Digital;Equipamento com tecnologia digital (detector de painel plano) emissor de Raios X para fins de diagnóstico clínico por imagem.;Médico Assistencial;R$ 405.977,00;N;Clique para Detalhar;ESPECIALIZADO
361;Aparelho de Raios X - Móvel;Aparelho móvel emissor de Raios X para fins de diagnóstico médico.;Médico Assistencial;R$ 249.000,00;N;Clique para Detalhar;ESPECIALIZADO
316;Aparelho de Raios X - Odontológico;Equipamento de uso odontológico, destinado à obtenção de radiografias odontológicas.;Médico Assistencial;R$ 12.917,00;N;Clique para Detalhar;ESPECIALIZADO
329;Aparelho de Raios X - Panorâmico;Equipamento emissor  de Raios X, para fins de diagnóstico médico-odontológico, que realiza movimento panorâmico ao redor da cabeça, para gerar imagens radiográficas da arcada dentária.;Médico Assistencial;R$ 146.809,00;N;Clique para Detalhar;ESPECIALIZADO
10913;Aparelho de Raios X Telecomandado com Fluoroscopia;Aparelho emissor de Raio X para fins diagnósticos, dotado de sistema de fluoroscopia, que gera imagens em tempo real para exames específicos.;Médico Assistencial;R$ 2.753.767,00;N;Clique para Detalhar;ESPECIALIZADO
1748;Aparelho de Som;Aparelho utilizado na reprodução de som.;Gerais;R$ 518,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11820;Aparelho Gerador de Ozônio para Odontologia;Equipamento que produz gás ozônio (O3), indicado para o combate a infecções e inflamações, possui propriedades analgésicas, anti-inflamatórias e antissépticas. Utilizado na endodontia, periodontia, cirurgia e no tratamento de cárie dental.;Médico Assistencial;R$ 13.553,00;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
61;Aparelho Medidor de Ponto de Fusão;Equipamento utilizado para a determinação do Ponto de Fusão em produtos sólidos (pós), verificação da pureza e qualidade da substância analisada.;Médico Assistencial;R$ 4.067,00;N;Clique para Detalhar;ESPECIALIZADO
418;Aparelho para Densitometria Óssea por Raios - X;Equipamento emissor de Raios X para fins Diagnósticos quanto ao grau de osteoporose e outros diagnósticos ósseos.;Médico Assistencial;R$ 406.847,00;N;Clique para Detalhar;ESPECIALIZADO
2524;Aparelho para Determinação da Desintegração;Aparelho para determinar o tempo de desintegração de comprimidos e cápsulas.;Médico Assistencial;R$ 72.634,00;N;Clique para Detalhar;ESPECIALIZADO
2902;Aparelho para Determinação de Dureza;Equipamento para Teste de Dureza de Comprimidos.;Médico Assistencial;R$ 35.381,58;N;Clique para Detalhar;ESPECIALIZADO
360;Aparelho para Fisioterapia por Microondas;É um equipamento de termoterapia profunda que utiliza a energia eletromagnética de alta frequência, na faixa das micro-ondas, para gerar calor terapêutico nos tecidos corporais.;Médico Assistencial;R$ 5.543,00;N;Clique para Detalhar;ESPECIALIZADO
453;Aparelho para Fisioterapia por Ondas Curtas;Equipamento utilizado para aplicar radiações produzidas por meio da corrente elétrica, podendo ser administrada de modo contínuo ou pulsado.;Médico Assistencial;R$ 9.314,00;N;Clique para Detalhar;ESPECIALIZADO
321;Aparelho para Fototerapia (icterícia/neonatologia);Aparelho de fototerapia por irradiação de lâmpadas (fluorescentes ou halógenas ou por fonte de LED), constituído por unidade refletora giratória e base móvel com rodízios e sistema de freio.;Médico Assistencial;R$ 9.565,00;N;Clique para Detalhar;ESPECIALIZADO
483;Aparelho para Hemodiálise;Aparelho microprocessado que permite o processo de filtragem do sangue.;Médico Assistencial;R$ 111.216,00;N;Clique para Detalhar;ESPECIALIZADO
10492;Aparelho para Hemossedimentação;Equipamento automatizado para leitura da Velocidade de Hemossedimentação (VHS) nas rotinas laboratoriais;Médico Assistencial;R$ 4.380,00;N;Clique para Detalhar;ESPECIALIZADO
882;Aparelho para Tração Ortopédica;O equipamento é utilizado em tratamento de  problemas nas regiões: cervical, lombar, tornozelo e pé.;Médico Assistencial;R$ 436,00;N;Clique para Detalhar;ESPECIALIZADO
10375;Aparelho Radiográfico Odontológico para Exame Extraoral;Equipamento de diagnóstico por imagens odontológicas, que são geradas por Raios X emitidos e captados em 360 graus ao redor do paciente, formando os chamados cortes da arcada dentária e demais áreas de interesse do estudo.;Médico Assistencial;R$ 257.294,00;N;Clique para Detalhar;ESPECIALIZADO
531;Aquecedor de Fluídos/ Sangue;Equipamento que realiza aquecimento de sangue, fluídos corporais, produtos à base de sangue e soluções intravenosas, durante infusão ou não, por meio da utilização de unidades de aquecimento.;Médico Assistencial;R$ 39.635,00;N;Clique para Detalhar;ESPECIALIZADO
11751;Aquecedor de Máscaras Termoplásticas para Radioterapia;Aquecedor de água para modelagem de máscaras termoplásticas.;Apoio;R$ 4.814,00;N;Clique para Detalhar;ESPECIALIZADO
992;Aquecedor Endodôntico para Gutta Percha;Equipamento utilizado para aquecer e plastificar a guta percha.;Médico Assistencial;R$ 3.468,00;N;Clique para Detalhar;ESPECIALIZADO
2356;Aquecedor Portátil de Ambiente;Equipamento portátil, utilizado para aqueceder ambientes.;Gerais;R$ 179,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
2569;Ar Condicionado;Aparelho que trata o ar, regulando sua qualidade no que diz respeito às suas condições de temperatura.;Infraestrutura;R$ 2.840,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
253;Arco Cirúrgico;Equipamento emissor de Raios-X para formação de imagens clínicas para fins diagnósticos. Arco em C móvel com fluoroscopia para a realização de procedimentos em pacientes adultos, pediátricos e neonatais.;Médico Assistencial;R$ 472.212,00;N;Clique para Detalhar;ESPECIALIZADO
2138;Armário;Armário móvel de aço ou madeira para guarda de materiais diversos.;Gerais;R$ 1.228,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11203;Armário com Aspiração de Segurança;Equipamento para armazenagem de resinas e produtos químicos voláteis utilizado na oficina ortopédica.;Apoio;R$ 7.622,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11925;Armário Eletrônico Dispensador de Medicamentos e Materiais Hospitalares com Sistema Automatizado;Equipamento utilizado para dispensação de medicamentos e materiais hospitalares, com a finalidade  de garantir uma gestão mais eficiente, segura e controlada das medicações materiais médicos utilizados na unidade de saúde. Ele permite a dispensação automatizada, controlada e rastreável dos materiais, ajudando a evitar desperdícios, erros e uso indevido.;Apoio;R$ 263.969,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11718;Armário em Aço Inox para CME;Armário e/ou estante para utilização em Central de Material  Esterilizado.;Gerais;R$ 7.614,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
2131;Armário Vitrine;Armário do tipo vitrine com porta para guarda de materiais ou medicamentos.;Gerais;R$ 1.671,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
1730;Arquivo;Arquivo para documentos, tipo fichário com gaveta.;Gerais;R$ 2.332,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
713;Articulador Odontológico;Equipamento utilizado para reproduzir as posições maxilo-mandibulares.;Apoio;R$ 2.081,00;N;Clique para Detalhar;ESPECIALIZADO
71;Aspirador de Secreções Elétrico Móvel;Aspirador móvel, utilizado nos procedimentos de aspirar secreção.;Médico Assistencial;R$ 4.538,00;N;Clique para Detalhar;ESPECIALIZADO
10376;Aspirador de Vapores;Equipamento utilizado para aspiração de vapores/gases, produzidos durante procedimentos cirúrgicos pela utilização de bisturis eletrônicos a fim de reter possíveis vírus e bactérias através dos filtros, além de eliminar os odores causados pelos cortes e coagulações realizados pelo equipamento. Deve ser utilizado para obter uma sala de cirurgia constantemente limpa e protegida, proporcionando melhores condições de trabalho aos profissionais da saúde.;Apoio;R$ 4.989,00;N;Clique para Detalhar;ESPECIALIZADO
10584;Aspirador Ultrassônico/ Bisturi Ultrassônico;"O Aspirador Ultrassônico é um equipamento indicado para simultaneamente, fragmentar, emulsificar, irrigar e aspirar tecidos das mais diversas origens, inclusive calcificados. 
Bisturi para corte e coagulação de tecidos moles com amplo controle do sangramento, sem lesões térmicas periféricas, sem utilização de corrente elétrica através do paciente, sem carbonização dos tecidos, sem escarificação, sem fumaça e odores. Ativação ultrassônica gerada por cerâmicas piezoelétricas.";Médico Assistencial;R$ 481.681,00;N;Clique para Detalhar;ESPECIALIZADO
11889;Assistente de Tosse;Equipamento projetado para simular a tosse natural e auxiliar na remoção de secreções das vias respiratórias;Médico Assistencial;R$ 31.396,00;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
956;Audiômetro;Aparelho usado para medir a sensibilidade auditiva e a intensidade do som. Neste equipamento não poderá ser especificado BERA (Sistema de Potencial Evocado).;Médico Assistencial;R$ 32.937,00;N;Clique para Detalhar;ESPECIALIZADO
10551;Autoclave Horizontal de Mesa (até 75 litros);Autoclave horizontal de bancada à vapor para esterilização de instrumentos e materiais médico-cirúrgicos.;Apoio;R$ 5.614,00;N;Clique para Detalhar;ESPECIALIZADO
10893;Autoclave Hospitalar Horizontal (acima de 350 litros);Autoclave Hospitalar Horizontal de grande porte para esterilização de instrumentais cirúrgicos e materiais em geral.;Apoio;R$ 402.750,00;N;Clique para Detalhar;ESPECIALIZADO
10892;Autoclave Hospitalar Horizontal (151 a 350 litros);Autoclave Hospitalar Horizontal de grande porte para esterilização de instrumentais cirúrgicos e materiais em geral.;Apoio;R$ 309.565,00;N;Clique para Detalhar;ESPECIALIZADO
10552;Autoclave Hospitalar Horizontal (75 a 150 litros);Autoclave Hospitalar Horizontal de grande porte para esterilização de instrumentais cirúrgicos e materiais em geral, na Central de Materiais Esterelizados.;Apoio;R$ 241.647,00;N;Clique para Detalhar;ESPECIALIZADO
2271;Autoclave Vertical;Autoclave vertical com controle microprocessado, para esterilização de materiais.;Apoio;R$ 31.258,00;N;Clique para Detalhar;ESPECIALIZADO
11672;Automação para Imuno-Histoquímica;Equipamento para a automação do preparo das amostras nos ensaios de imunohistoquímica. Equipamento para a automação da localização de antígenos em secções de tecido usando anticorpos primários específicos, permitindo a utilização de anticorpos primários de outros fabricantes.;Médico Assistencial;R$ 703.800,00;N;Clique para Detalhar;ESPECIALIZADO
10563;Autorefrator;*Equipamento oftalmológico utilizado para identificar automaticamente o grau de refração do olho, podendo também medir a curvatura da córnea.;Médico Assistencial;R$ 29.530,00;N;Clique para Detalhar;ESPECIALIZADO
2141;Balança Analítica de Precisão;Balança para preparação de reagentes, corantes e demais rotinas laboratoriais. Pode obter precisão de 0,0001g.;Médico Assistencial;R$ 7.365,00;N;Clique para Detalhar;ESPECIALIZADO
2980;Balança Antropométrica Adulto;Equipamento para pesagem e medição da estatura do paciente.;Médico Assistencial;R$ 1.843,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
2981;Balança Antropométrica Infantil;*Equipamento para pesagem do paciente.;Médico Assistencial;R$ 1.092,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11247;Balança Antropométrica para Obesos;*Equipamento para pesagem e medição da estatura do paciente.;Médico Assistencial;R$ 2.245,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11886;Balança Digital para Pessoa em Cadeira de Rodas;"*Equipamento utilizado para pesagem de paciente.

Neste item não serão financiadas balanças do tipo domésticas sendo permitidas apenas balanças do tipo profissional.";Médico Assistencial;R$ 6.748,00;N;Clique para Detalhar;ANÁLISE ESPECIALIZADA
11076;Balança Digital Portátil;"*Equipamento utilizado para pesagem de paciente.

Neste item não serão financiadas balanças do tipo domésticas sendo permitidas apenas balanças do tipo profissional.";Médico Assistencial;R$ 1.993,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11796;Balança Dinâmica;Equipamento para checagem de peso em linha.;Apoio;R$ 192.000,00;N;Clique para Detalhar;ESPECIALIZADO
11280;Balança para Determinação de Umidade;Equipamento de laboratório que mede a quantidade de água em uma amostra (sólida ou líquida) usando o método de perda por secagem (termogravimétrico), aquecendo-a e calculando a diferença de peso antes e depois da evaporação da umidade.;Médico Assistencial;R$ 12.418,00;N;Clique para Detalhar;ESPECIALIZADO
10265;Balança para Laboratório;Equipamento de bancada utilizada em laboratório para medir massa em uso geral com precisão de 0,01g.;Médico Assistencial;R$ 2.836,00;N;Clique para Detalhar;ESPECIALIZADO
11339;Balança Semi-Analítica;Equipamentom digital para uso em laboratórios para medir massa com precisão entre 0,001g e 0,1 g. A capacidade máxima é variável de acordo com o uso pretendido.;Médico Assistencial;R$ 4.396,00;N;Clique para Detalhar;ESPECIALIZADO
2305;Balança Tipo Plataforma;Balança do tipo plataforma para pesagem de materiais diversos.;Médico Assistencial;R$ 2.042,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
2965;Balancim Proprioceptivo;Equipamento utilizado para exercícios de equilíbrio, propriocepção e fortalecimento muscular.;Médico Assistencial;R$ 610,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
2709;Balcão de Atendimento;Balcão utilizado para atender clientes em uma recepção.;Gerais;R$ 1.581,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
2224;Balde a Chute;Equipamento com rodízios para transportar balde.;Gerais;R$ 637,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
2099;Balde a Pedal;Recipiente para a coleta de detritos, com dispositivo de elevação da tampa acionado por pedal.;Gerais;R$ 418,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
1717;Balde/ Lixeira;Cesto  de Lixo  sem pedal.;Gerais;R$ 95,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
53;Bancada;Bancada com superfície em aço inoxidável para preparo e dispensação de imunobiológicos.;Gerais;R$ 2.888,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11205;Bancada para Oficina Ortopédica;Bancada para trabalhos manuais em oficina ortopédica.;Gerais;R$ 1.888,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
10495;Banco de Wells;Utilizado na avaliação física, como um teste de flexibilidade para medir a amplitude do alongamento da parte posterior do tronco e pernas.;Médico Assistencial;R$ 412,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11935;Banco Regulável Ajustável Supino - 0 a 90°;Equipamento utilizado para a prática de musculação no processo de reabilitação e inserção no esporte adaptado, uso previsto para pessoas com mobilidade reduzida.;Apoio;R$ 1.242,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
11933;Banco Supino Reto;Equipamento utilizado para a prática de musculação no processo de reabilitação e inserção no esporte adaptado, uso previsto para pessoas com mobilidade reduzida.;Apoio;R$ 1.056,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
2840;Banho a Seco (Termobloco);"Equipamento para incubar substâncias utilizando ao invés de água aquecida (banho-maria tradicional) bloco de alumínio. 
Aplicações nas áreas de biologia molecular, biotecnologia, histologia, análises clínicas, farmacêutica, alimentícia, entre outras.";Médico Assistencial;R$ 2.722,00;N;Clique para Detalhar;ESPECIALIZADO
377;Banho de Parafina;Aparelho para manter a parafina líquida com temperatura constante e regulável.;Médico Assistencial;R$ 7.418,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11338;Banho Ultrassônico;Equipamento utilizado para preparo de soluções e limpeza de materiais.;Apoio;R$ 10.500,00;N;Clique para Detalhar;ESPECIALIZADO
220;Banho-Maria;Utilizado para aquecer lenta e uniformemente qualquer substância líquida ou sólida.;Médico Assistencial;R$ 2.271,00;N;Clique para Detalhar;ESPECIALIZADO
1828;Banho-Maria (para alimentos);Equipamento utilizado para aquecer as refeições por meio do calor indireto.;Gerais;R$ 1.209,00;N;Clique para Detalhar;ESPECIALIZADO
10257;Banho-Maria para Lactário;Equipamento destinado ao processamento de Leite Humano (aquecimento, degelo ou pasteurização).;Médico Assistencial;R$ 33.379,00;N;Clique para Detalhar;ESPECIALIZADO
2711;Banqueta;Banco pequeno e sem encosto.;Gerais;R$ 513,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11084;Banqueta Dobrável;Banco pequeno e sem encosto dobrável.;Gerais;R$ 135,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
11074;Banqueta para Parto Vertical;Utilizado para auxiliar durante o trabalho de parto, com abertura na frente que permite a visualização do parto.;Médico Assistencial;R$ 1.050,00;N;Clique para Detalhar;NÃO ESPECIALIZADO
10298;Baropodômetro;Equipamento utilizado para análise e identificação de desvios, pressões anormais na região do pé, entre outros.;Médico Assistencial;R$ 22.212,00;N;Clique para Detalhar;ESPECIALIZADO
11897;Barra de Flexão em T;Equipamento utilizado para exercícios de força, especialmente para trabalhar os músculos das costas, ombro e braços;Apoio;R$ 1.206,00;N;Clique para Detalhar;ANÁLISE NÃO ESPECIALIZADA
