Proposta;Ano da proposta;IBGE;UF;Município;Nome da unidade;Componente;Porte;Situação no SISMOB;Data do repasse;Execução física (%) SISMOB;Data prevista de conclusão SISMOB;Dias sem monitoramento SISMOB;Data do último contato equipe PAC;Situação equipe PAC;Prioridade de contato;Ações;Quem fez o contato?;Data do contato;Execução informada pelo ente (%);Data/Previsão de conclusão informada pelo ente;Data/Previsão de inauguração informada pelo ente;Observações e problemas
2024;250700;PB;Itaporanga;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;45810;05/04/1900;46172;18/01/1900;46195;Em execução, conclusão atrasada;Alta;"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
";Bartolomeu Lima;46266;05/04/1900;;;Dependendo da energia elétrica instalar tranformadorna rede;
2025;250700;PB;Itaporanga;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46122;26/01/1900;46629;17/01/1900;;Em início de execução;Baixa;;Bartolomeu Lima;46280;;;;Aguardando Retorno;
2024;250720;PB;Itatuba;Ubsf Vi Josenalva Arruda de Brito;Unidade Básica de Saúde;I;Em início de execução;46002;00/01/1900;;23/01/1901;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46275;;;;Aguardando Retorno;
2024;250730;PB;Jacaraú;Unidade de Saude da Familia Maria Auxiliadora dos S Gomes;Unidade Básica de Saúde;I;Em execução e conclusão;45828;10/03/1900;46264;17/03/1900;;Em execução, conclusão atrasada;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";Bartolomeu Lima;46266;;;;Aguardando Retorno;
2024;250750;PB;João Pessoa;Capsad Iii;Centro de Atenção Psicossocial;ad III;Em início de execução;46055;12/01/1900;46280;22/03/1900;;Em início de execução;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";Bartolomeu Lima;46275;16/01/1900;46461;;;
2024;250750;PB;João Pessoa;Ubs Bessa;Unidade Básica de Saúde;III;Em ação preparatória;;00/01/1900;;05/01/1900;;Licitação homologada;Baixa;;Bartolomeu Lima;46267;;;;Em Ação Preparatória;
2024;250750;PB;João Pessoa;Ubs Bairro dos Estados;Unidade Básica de Saúde;III;Em ação preparatória;;00/01/1900;;21/01/1900;;Edital de licitação publicado;Baixa;;Bartolomeu Lima;46267;;;;Em Ação Preparatória;
2024;250770;PB;Juazeirinho;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;45729;17/02/1900;46295;07/02/1900;;Em execução e conclusão;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";Bartolomeu Lima;46275;;;;Reforçado e 16/09;
2024;250790;PB;Juripiranga;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;45817;07/02/1900;46386;21/01/1900;;Em execução e conclusão;Alta;;Bartolomeu Lima;46275;07/02/1900;46386;;;
2025;250790;PB;Juripiranga;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;46136;05/01/1900;46537;21/01/1900;;Em início de execução;Baixa;;Bartolomeu Lima;46280;05/01/1900;46537;;;
2024;250810;PB;Lagoa;Construção de Unidade Básica  de Saúde;Unidade Básica de Saúde;I;Em início de execução;45902;21/01/1900;46387;27/01/1900;;Em início de execução;Alta;;Bartolomeu Lima;46275;;;;;
2025;250840;PB;Lastro;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;46111;30/01/1900;46476;24/02/1900;;Em execução e conclusão;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;46279;30/01/1900;46476;;Aguardando Retorno;
