Ano;N° Emenda;Partido;Parlamentar;Cód. Parlamentar Solicitante (a partir de 2025);Parlamentar Solicitante (a partir de 2025);UF;Cód. Município IBGE;Municipio;Esfera Administrativa;Tipo de Emenda;Grupo de Despesa;Subfunção;Fonte;Funcional;Data Inicio Proposta;N° Instrumento;TGov Parceria;Tipo de Repasse;Tipo de Instrumento;Ação Orç.;Programa Estratégico;Componente;CNPJ Beneficiário;Beneficiário;Nr. Portaria;Data Portaria;Situação (Portal FNS);Situação (DS PROPOSTA);Data Último Pgto;Instrumento (R$);Empenhado (R$);Pago (R$)
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250403;CAPIM;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;13/05/2026;36000804911202600;202600035529;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;08730943000181;FUNDO MUNICIPAL DE SAUDE;11331;20/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$300.000,00;R$300.000,00;R$300.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251090;PAULISTA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;05/05/2026;36000800874202600;202600035586;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11247833000178;FUNDO MUNICIPAL DE SAUDE;11331;20/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$300.000,00;R$300.000,00;R$300.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250205;BERNARDINO BATISTA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;06/05/2026;36000801655202600;202600030594;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;10484826000127;FUNDO MUNICIPAL DE SAUDE;11239;15/05/2026;PROPOSTA PAGA;Proposta Paga;16/06/2026;R$600.000,00;R$600.000,00;R$600.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250375;CAJAZEIRINHAS;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;20/05/2026;36000807686202600;202600041938;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;10461231000156;FUNDO MUNICIPAL DE SAUDE DE CAJAZEIRINHAS;11765;30/06/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$600.000,00;R$600.000,00;R$0,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250250;BOQUEIRAO;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;12/05/2026;36000804328202600;202600040667;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11153600000106;FUNDO MUNICIPAL DE SAUDE;11642;23/06/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$500.000,00;R$500.000,00;R$0,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250790;JURIPIRANGA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;06/05/2026;36000801011202600;202600036384;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;11164805000197;FUNDO MUNICIPAL DE SAUDE;11393;25/05/2026;PROPOSTA PAGA;Proposta Paga;25/06/2026;R$500.000,00;R$500.000,00;R$500.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250520;CUITEGI;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;06/05/2026;36000801217202600;202600029698;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;11780026000116;FUNDO MUNICIPAL DE SAUDE - CUITEGI-PB;11194;13/05/2026;PROPOSTA PAGA;Proposta Paga;16/06/2026;R$600.000,00;R$600.000,00;R$600.000,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;250750;JOAO PESSOA;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;19/06/2026;36000816192202600;202600041824;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;08715618000140;FUNDO MUNICIPAL DE SAUDE;11749;30/06/2026;EM ANALISE PELA ÁREA FINALÍSTICA;Proposta Empenhada aguardando Formalização;-;R$700.000,00;R$700.000,00;R$0,00
2026;71160010;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251130;PIANCO;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;302;1001;1030251182E900025;06/05/2026;36000801319202600;202600028625;FAF;INCREMENTO MAC;2E90;ATENÇÃO ESPECIALIZADA À SAÚDE;INCREMENTO TEMPORÁRIO DO TETO DA MÉDIA E ALTA COMPLEXIDADE - MAC;04827493000199;FUNDO MUNICIPAL DE SAUDE;11058;11/05/2026;PROPOSTA PAGA;Proposta Paga;17/06/2026;R$700.000,00;R$700.000,00;R$700.000,00
2026;71160004;S.PART.;BANCADA DA PARAÍBA;não se aplica;não se aplica;PB;251720;VIEIROPOLIS;MUNICIPAL;BANCADA OBRIGATÓRIA;CORRENTE;301;1001;1030151192E890025;12/05/2026;36000804312202600;202600035613;FAF;INCREMENTO PAP;2E89;ATENÇÃO PRIMÁRIA À SAÚDE;INCREMENTO DO PISO DA ATENÇÃO PRIMÁRIA À SAÚDE - PAP;14688620000170;FUNDO MUNICIPAL DE SAUDE DE VIEIROPOLIS;11331;20/05/2026;PROPOSTA PAGA;Proposta Paga;26/06/2026;R$800.000,00;R$800.000,00;R$800.000,00
